locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJIGEHEJ_00001	CDS	528	mnmM	2.1.1.61	COG0275	tRNA (mnm(5)s(2)U34)-methyltransferase
IJIGEHEJ_00002	CDS	651				hypothetical protein
IJIGEHEJ_00003	CDS	2427	leuS	6.1.1.4		Leucine--tRNA ligase
IJIGEHEJ_00004	CDS	1671	murJ_1		COG2244	Lipid II flippase MurJ
IJIGEHEJ_00005	CDS	741	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
IJIGEHEJ_00006	CDS	837	nnrD	4.2.1.136	COG0063	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
IJIGEHEJ_00007	CDS	1404		3.4.13.-		Putative dipeptidase
IJIGEHEJ_00008	CDS	507				Putative universal stress protein
IJIGEHEJ_00009	CDS	1101	msmX_1	7.5.2.-	COG3842	Oligosaccharides import ATP-binding protein MsmX
IJIGEHEJ_00010	CDS	966	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
IJIGEHEJ_00011	CDS	843	araQ		COG0395	Arabinooligosaccharides transport system permease protein AraQ
IJIGEHEJ_00012	CDS	1350	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
IJIGEHEJ_00013	CDS	687	UgpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
IJIGEHEJ_00014	CDS	648		2.7.1.113	COG1428	Deoxyguanosine kinase
IJIGEHEJ_00015	CDS	381	mscL		COG1970	Large-conductance mechanosensitive channel
IJIGEHEJ_00016	CDS	2952	smc_1			Chromosome partition protein Smc
IJIGEHEJ_00017	CDS	168				hypothetical protein
IJIGEHEJ_00018	CDS	738				hypothetical protein
IJIGEHEJ_00019	CDS	858		7.6.2.-	COG1131	Fluoroquinolones export ATP-binding protein
IJIGEHEJ_00020	CDS	987				hypothetical protein
IJIGEHEJ_00021	CDS	804	msrA_1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
IJIGEHEJ_00022	CDS	393			COG0789	putative HTH-type transcriptional regulator
IJIGEHEJ_00023	CDS	642				hypothetical protein
IJIGEHEJ_00024	CDS	939	yicL_1		COG0697	putative inner membrane transporter YicL
IJIGEHEJ_00025	CDS	822	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
IJIGEHEJ_00026	CDS	609				hypothetical protein
IJIGEHEJ_00027	CDS	1263				hypothetical protein
IJIGEHEJ_00028	CDS	768	agrA_1			Accessory gene regulator A
IJIGEHEJ_00029	CDS	339				hypothetical protein
IJIGEHEJ_00030	CDS	372				hypothetical protein
IJIGEHEJ_00031	CDS	687				hypothetical protein
IJIGEHEJ_00032	CDS	477				hypothetical protein
IJIGEHEJ_00033	CDS	513				hypothetical protein
IJIGEHEJ_00034	CDS	288				hypothetical protein
IJIGEHEJ_00035	CDS	2268	uvrA_1			UvrABC system protein A
IJIGEHEJ_00036	tRNA	74				tRNA-His(gtg)
IJIGEHEJ_00037	CDS	1917	pepO	3.4.24.-	COG3590	Neutral endopeptidase
IJIGEHEJ_00038	CDS	666	fnr_1		COG0664	Anaerobic regulatory protein
IJIGEHEJ_00039	CDS	219				hypothetical protein
IJIGEHEJ_00040	CDS	555				hypothetical protein
IJIGEHEJ_00041	CDS	204				hypothetical protein
IJIGEHEJ_00042	CDS	270				hypothetical protein
IJIGEHEJ_00043	CDS	321	trxA_1		COG3118	Thioredoxin
IJIGEHEJ_00044	CDS	753	gla			Glycerol facilitator-aquaporin gla
IJIGEHEJ_00045	CDS	1905	cadA	7.2.2.21		Cadmium-transporting ATPase
IJIGEHEJ_00046	CDS	648				hypothetical protein
IJIGEHEJ_00047	CDS	696	ydcF		COG1434	Protein YdcF
IJIGEHEJ_00048	CDS	714	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
IJIGEHEJ_00049	CDS	954	dyp	1.11.1.7	COG2837	Dye-decolorizing peroxidase
IJIGEHEJ_00050	CDS	579				hypothetical protein
IJIGEHEJ_00051	CDS	1002	tsdA	4.1.1.103	COG2159	Gamma-resorcylate decarboxylase
IJIGEHEJ_00052	CDS	312				hypothetical protein
IJIGEHEJ_00053	CDS	249				hypothetical protein
IJIGEHEJ_00054	CDS	318				hypothetical protein
IJIGEHEJ_00055	tRNA	75				tRNA-Ala(cgc)
IJIGEHEJ_00056	CDS	372				hypothetical protein
IJIGEHEJ_00057	CDS	336				hypothetical protein
IJIGEHEJ_00058	CDS	1068				hypothetical protein
IJIGEHEJ_00059	CDS	1410	gadB	4.1.1.15	COG0076	Glutamate decarboxylase
IJIGEHEJ_00060	CDS	198				hypothetical protein
IJIGEHEJ_00061	CDS	1662	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
IJIGEHEJ_00062	CDS	669				hypothetical protein
IJIGEHEJ_00063	CDS	504				hypothetical protein
IJIGEHEJ_00064	CDS	738	rhaR_1			HTH-type transcriptional activator RhaR
IJIGEHEJ_00065	CDS	810				hypothetical protein
IJIGEHEJ_00066	CDS	1035				hypothetical protein
IJIGEHEJ_00067	CDS	459				hypothetical protein
IJIGEHEJ_00068	CDS	2580				hypothetical protein
IJIGEHEJ_00069	CDS	393				hypothetical protein
IJIGEHEJ_00070	CDS	969	ypuA		COG4086	putative protein YpuA
IJIGEHEJ_00071	CDS	324				hypothetical protein
IJIGEHEJ_00072	CDS	573				hypothetical protein
IJIGEHEJ_00073	CDS	519			COG2110	Macro domain-containing protein
IJIGEHEJ_00074	CDS	828	uppP	3.6.1.27		Undecaprenyl-diphosphatase
IJIGEHEJ_00075	CDS	342				hypothetical protein
IJIGEHEJ_00076	CDS	462				hypothetical protein
IJIGEHEJ_00077	CDS	753				hypothetical protein
IJIGEHEJ_00078	CDS	861		1.1.1.-	COG0656	Aldo-keto reductase/MSMEI_2347
IJIGEHEJ_00079	CDS	933				hypothetical protein
IJIGEHEJ_00080	CDS	1551	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
IJIGEHEJ_00081	CDS	2613		7.2.2.10		Calcium-transporting ATPase 1
IJIGEHEJ_00082	CDS	474				hypothetical protein
IJIGEHEJ_00083	CDS	219				hypothetical protein
IJIGEHEJ_00084	CDS	702				hypothetical protein
IJIGEHEJ_00085	CDS	327				hypothetical protein
IJIGEHEJ_00086	CDS	1902	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
IJIGEHEJ_00087	CDS	1203	lysC	2.7.2.4		Aspartokinase
IJIGEHEJ_00088	CDS	1482	murE	6.3.2.13		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
IJIGEHEJ_00089	CDS	1401	xylP_1			Isoprimeverose transporter
IJIGEHEJ_00090	CDS	1017	aes	3.1.1.-		Acetyl esterase
IJIGEHEJ_00091	CDS	300				hypothetical protein
IJIGEHEJ_00092	CDS	669	cobC_1	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
IJIGEHEJ_00093	CDS	570	rimI_1	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
IJIGEHEJ_00094	CDS	765				hypothetical protein
IJIGEHEJ_00095	CDS	1251				hypothetical protein
IJIGEHEJ_00096	CDS	1002				hypothetical protein
IJIGEHEJ_00097	CDS	765				hypothetical protein
IJIGEHEJ_00098	CDS	327				hypothetical protein
IJIGEHEJ_00099	CDS	882				hypothetical protein
IJIGEHEJ_00100	CDS	1809	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
IJIGEHEJ_00101	CDS	198				hypothetical protein
IJIGEHEJ_00102	CDS	267				hypothetical protein
IJIGEHEJ_00103	CDS	1233				hypothetical protein
IJIGEHEJ_00104	CDS	1407	pepDA_1	3.4.13.19	COG4690	Dipeptidase A
IJIGEHEJ_00105	CDS	1008	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
IJIGEHEJ_00106	CDS	1296	asnS_1	6.1.1.22		Asparagine--tRNA ligase
IJIGEHEJ_00107	CDS	630	azoR	1.6.5.-		FMN-dependent NADH:quinone oxidoreductase
IJIGEHEJ_00108	CDS	474				hypothetical protein
IJIGEHEJ_00109	CDS	105				hypothetical protein
IJIGEHEJ_00110	CDS	1866				hypothetical protein
IJIGEHEJ_00111	CDS	927	cynR_1		COG0583	HTH-type transcriptional regulator CynR
IJIGEHEJ_00112	CDS	552				hypothetical protein
IJIGEHEJ_00113	CDS	753				hypothetical protein
IJIGEHEJ_00114	CDS	495				hypothetical protein
IJIGEHEJ_00115	CDS	123				hypothetical protein
IJIGEHEJ_00116	CDS	3774				hypothetical protein
IJIGEHEJ_00117	CDS	531				hypothetical protein
IJIGEHEJ_00118	CDS	552				hypothetical protein
IJIGEHEJ_00119	CDS	513				hypothetical protein
IJIGEHEJ_00120	CDS	2001	pvdT	7.6.2.-		Pyoverdine export ATP-binding/permease protein PvdT
IJIGEHEJ_00121	CDS	3339				hypothetical protein
IJIGEHEJ_00122	CDS	363				hypothetical protein
IJIGEHEJ_00123	CDS	837				hypothetical protein
IJIGEHEJ_00124	CDS	315				hypothetical protein
IJIGEHEJ_00125	CDS	822				hypothetical protein
IJIGEHEJ_00126	tRNA	72				tRNA-Gly(gcc)
IJIGEHEJ_00127	tRNA	87				tRNA-Leu(taa)
IJIGEHEJ_00128	tRNA	74				tRNA-Arg(acg)
IJIGEHEJ_00129	CDS	270	rpsN		COG0199	Small ribosomal subunit protein uS14A
IJIGEHEJ_00130	CDS	855	rlmA	2.1.1.187	COG2226	23S rRNA (guanine(745)-N(1))-methyltransferase
IJIGEHEJ_00131	CDS	225				hypothetical protein
IJIGEHEJ_00132	CDS	1350	brnQ_1		COG1114	Branched-chain amino acid permease BrnQ
IJIGEHEJ_00133	CDS	648				hypothetical protein
IJIGEHEJ_00134	CDS	513	cspR	2.1.1.207	COG0219	Putative tRNA (cytidine(34)-2'-O)-methyltransferase
IJIGEHEJ_00135	CDS	2388	spoIIIE		COG1674	DNA translocase SpoIIIE
IJIGEHEJ_00136	CDS	960				hypothetical protein
IJIGEHEJ_00137	CDS	369				hypothetical protein
IJIGEHEJ_00138	CDS	426	mraZ		COG2001	Transcriptional regulator MraZ
IJIGEHEJ_00139	CDS	960	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
IJIGEHEJ_00140	CDS	387	ftsL			Cell division protein FtsL
IJIGEHEJ_00141	CDS	2142	pbpB	3.4.16.4	COG0768	Penicillin-binding protein 2B
IJIGEHEJ_00142	CDS	966	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
IJIGEHEJ_00143	CDS	1380	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
IJIGEHEJ_00144	CDS	1092	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
IJIGEHEJ_00145	CDS	876	divIB		COG1589	Cell division protein DivIB
IJIGEHEJ_00146	CDS	1347	ftsA		COG0849	Cell division protein FtsA
IJIGEHEJ_00147	CDS	1284	ftsZ		COG0206	Cell division protein FtsZ
IJIGEHEJ_00148	CDS	423	sepF			Cell division protein SepF
IJIGEHEJ_00149	CDS	255				hypothetical protein
IJIGEHEJ_00150	CDS	786	rqcP2		COG2302	Ribosome-associated protein quality control protein P2
IJIGEHEJ_00151	CDS	699	gpsB_1			Cell cycle adapter protein GpsB
IJIGEHEJ_00152	CDS	2799	ileS			isoleucine--tRNA ligase IleS
IJIGEHEJ_00153	CDS	867	drrA3_1	7.6.2.2		Daunorubicin resistance ATP-binding protein DrrA3
IJIGEHEJ_00154	CDS	867				hypothetical protein
IJIGEHEJ_00155	CDS	459				hypothetical protein
IJIGEHEJ_00156	CDS	405				hypothetical protein
IJIGEHEJ_00157	CDS	999	dapF	5.1.1.7		Diaminopimelate epimerase
IJIGEHEJ_00158	CDS	555	act_1	3.-.-.-		Methanol dehydrogenase activator
IJIGEHEJ_00159	CDS	252				hypothetical protein
IJIGEHEJ_00160	CDS	693	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
IJIGEHEJ_00161	CDS	1161	iscS_1	2.8.1.7		Cysteine desulfurase IscS
IJIGEHEJ_00162	CDS	342				hypothetical protein
IJIGEHEJ_00163	CDS	1134	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
IJIGEHEJ_00164	CDS	1353	ntpJ		COG0168	Potassium/sodium uptake protein NtpJ
IJIGEHEJ_00165	CDS	663	ktrC		COG0569	Ktr system potassium uptake protein C
IJIGEHEJ_00166	CDS	732				hypothetical protein
IJIGEHEJ_00167	CDS	1035				hypothetical protein
IJIGEHEJ_00168	CDS	1449				hypothetical protein
IJIGEHEJ_00169	CDS	666	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
IJIGEHEJ_00170	CDS	675				hypothetical protein
IJIGEHEJ_00171	CDS	2550	recD2	5.6.2.3	COG0507	ATP-dependent RecD2 DNA helicase
IJIGEHEJ_00172	CDS	966	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
IJIGEHEJ_00173	CDS	1491				hypothetical protein
IJIGEHEJ_00174	CDS	204				hypothetical protein
IJIGEHEJ_00175	CDS	960	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
IJIGEHEJ_00176	CDS	1677	rnjA	3.1.-.-	COG0595	Ribonuclease J1
IJIGEHEJ_00177	CDS	219	rpoY	2.7.7.6		DNA-directed RNA polymerase subunit epsilon
IJIGEHEJ_00178	CDS	507				hypothetical protein
IJIGEHEJ_00179	CDS	561	def	3.5.1.88	COG0242	Peptide deformylase
IJIGEHEJ_00180	CDS	1113	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
IJIGEHEJ_00181	CDS	978	pdhB	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
IJIGEHEJ_00182	CDS	1317	pdhC	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
IJIGEHEJ_00183	CDS	1413	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
IJIGEHEJ_00184	CDS	933	ldh_1	1.1.1.27		L-lactate dehydrogenase
IJIGEHEJ_00185	CDS	288				hypothetical protein
IJIGEHEJ_00186	CDS	774	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
IJIGEHEJ_00187	CDS	1839	bipA_1	3.6.5.-	COG1217	Large ribosomal subunit assembly factor BipA
IJIGEHEJ_00188	CDS	1311				hypothetical protein
IJIGEHEJ_00189	CDS	1167	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
IJIGEHEJ_00190	CDS	3432	pyc	6.4.1.1	COG1038	Pyruvate carboxylase
IJIGEHEJ_00191	CDS	303				hypothetical protein
IJIGEHEJ_00192	CDS	564	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
IJIGEHEJ_00193	CDS	492	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
IJIGEHEJ_00194	CDS	1047	ylbL		COG3480	putative protein YlbL
IJIGEHEJ_00195	CDS	699	comEA		COG1555	ComE operon protein 1
IJIGEHEJ_00196	CDS	486	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
IJIGEHEJ_00197	CDS	2052	comEC		COG0658	ComE operon protein 3
IJIGEHEJ_00198	CDS	1062	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
IJIGEHEJ_00199	CDS	255	rpsT		COG0268	Small ribosomal subunit protein bS20
IJIGEHEJ_00200	CDS	270	rpsO		COG0184	Small ribosomal subunit protein uS15
IJIGEHEJ_00201	CDS	1125	sbnD_1		COG2814	Staphyloferrin B transporter
IJIGEHEJ_00202	CDS	873	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IJIGEHEJ_00203	CDS	1725	rnj2	3.1.-.-		Ribonuclease J 2
IJIGEHEJ_00204	CDS	915				hypothetical protein
IJIGEHEJ_00205	CDS	1188	tuf	3.6.5.3		Elongation factor Tu
IJIGEHEJ_00206	CDS	1323	tig	5.2.1.8	COG0544	Trigger factor
IJIGEHEJ_00207	CDS	1266	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
IJIGEHEJ_00208	CDS	594	engB		COG0218	putative GTP-binding protein EngB
IJIGEHEJ_00209	CDS	345				hypothetical protein
IJIGEHEJ_00210	CDS	408				hypothetical protein
IJIGEHEJ_00211	CDS	171				hypothetical protein
IJIGEHEJ_00212	CDS	1476	mltF_1			Membrane-bound lytic murein transglycosylase F
IJIGEHEJ_00213	CDS	741	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
IJIGEHEJ_00214	CDS	1815	uvrC		COG0322	UvrABC system protein C
IJIGEHEJ_00215	CDS	759				hypothetical protein
IJIGEHEJ_00216	CDS	708	ywqD_1	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
IJIGEHEJ_00217	CDS	822	ywqE_1	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
IJIGEHEJ_00218	CDS	942	wcdB	5.1.3.45	COG0451	UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase
IJIGEHEJ_00219	CDS	666	wecA	2.7.8.40	COG2148	UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
IJIGEHEJ_00220	CDS	1110	wbnH	2.4.1.306		O-antigen biosynthesis glycosyltransferase WbnH
IJIGEHEJ_00221	CDS	1029				hypothetical protein
IJIGEHEJ_00222	CDS	1275				hypothetical protein
IJIGEHEJ_00223	CDS	969				hypothetical protein
IJIGEHEJ_00224	CDS	1452				hypothetical protein
IJIGEHEJ_00225	CDS	1323				hypothetical protein
IJIGEHEJ_00226	CDS	1968	fruA_1		COG1299	PTS system fructose-specific EIIABC component
IJIGEHEJ_00227	CDS	918	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
IJIGEHEJ_00228	CDS	756	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
IJIGEHEJ_00229	CDS	1296	obg	3.6.5.-	COG0536	GTPase Obg
IJIGEHEJ_00230	CDS	285				hypothetical protein
IJIGEHEJ_00231	CDS	936	rnz	3.1.26.11	COG1234	Ribonuclease Z
IJIGEHEJ_00232	CDS	792		1.-.-.-		putative oxidoreductase
IJIGEHEJ_00233	CDS	351				hypothetical protein
IJIGEHEJ_00234	CDS	2334	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
IJIGEHEJ_00235	CDS	519	apt	2.4.2.7		Adenine phosphoribosyltransferase
IJIGEHEJ_00236	CDS	585				hypothetical protein
IJIGEHEJ_00237	CDS	1212				hypothetical protein
IJIGEHEJ_00238	CDS	348				hypothetical protein
IJIGEHEJ_00239	CDS	762				hypothetical protein
IJIGEHEJ_00240	CDS	207				hypothetical protein
IJIGEHEJ_00241	tRNA	88				tRNA-Ser(cga)
IJIGEHEJ_00242	CDS	1212	rodA_1	2.4.99.28	COG0772	Peptidoglycan glycosyltransferase RodA
IJIGEHEJ_00243	CDS	1743				hypothetical protein
IJIGEHEJ_00244	CDS	792	ssuB_1	7.6.2.14	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
IJIGEHEJ_00245	CDS	1161	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
IJIGEHEJ_00246	CDS	573				hypothetical protein
IJIGEHEJ_00247	CDS	942		2.4.-.-	COG0463	putative glycosyltransferase
IJIGEHEJ_00248	CDS	393				hypothetical protein
